ID,Title,Alternative Title (en),Media Type,Status,Premiered Season,Genres,User Score,Number of Ratings,Number of Members,Studios,Rating
3907,Ginga Sengoku Gunyuuden Rai,Galaxy Warring State Chronicle Rai,tv,finished_airing,Spring 1994,"Adventure, Romance, Sci-Fi, Shounen, Space",7.89,5590,16613,E&G Films,pg_13
1573,Kishin Douji Zenki,Zenki,tv,finished_airing,Winter 1995,"Action, Comedy, Drama, Fantasy, Horror, Mythology, Shounen",6.97,5956,15094,Studio Deen,pg_13
520,Marmalade Boy Movie,N/A,movie,finished_airing,Winter 1995,"Romance, Shoujo",7.29,5082,11647,Toei Animation,pg_13
103,Akazukin Chacha,Red Riding Hood Chacha,tv,finished_airing,Winter 1994,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",7.41,6075,16889,Gallop,g
813,Dragon Ball Z,Dragon Ball Z,tv,finished_airing,Spring 1989,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen",8.19,863786,1258233,Toei Animation,pg_13
96,Kidou Butouden G Gundam,Mobile Fighter G Gundam,tv,finished_airing,Spring 1994,"Action, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space",7.58,38588,71808,Sunrise,pg_13
2471,Doraemon (1979),Doraemon,tv,finished_airing,Spring 1979,"Adventure, Anthropomorphic, Comedy, Fantasy, Kids, Sci-Fi, Shounen",7.86,39342,66089,Shin-Ei Animation,pg
334,Marmalade Boy,Marmalade Boy,tv,finished_airing,Spring 1994,"Comedy, Drama, Romance, Shoujo",7.42,22707,57917,Toei Animation,pg_13
435,Magic Knight Rayearth,Magic Knight Rayearth,tv,finished_airing,Fall 1994,"Action, Adventure, Comedy, Drama, Fantasy, Isekai, Mecha, Shoujo",7.45,30017,73581,Tokyo Movie Shinsha,pg_13
966,Crayon Shin-chan,Shin Chan,tv,currently_airing,Spring 1992,"Comedy, Ecchi, School, Seinen",7.8,41799,87017,Shin-Ei Animation,g
170,Slam Dunk,Slam Dunk,tv,finished_airing,Fall 1993,"School, Shounen, Sports, Team Sports",8.55,141218,312658,Toei Animation,pg_13
905,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Dragon Ball Z: Fusion Reborn,movie,finished_airing,Winter 1995,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen",7.6,102140,158814,Toei Animation,pg_13
532,Bishoujo Senshi Sailor Moon S,Sailor Moon S,tv,finished_airing,Spring 1994,"Mahou Shoujo, Romance, Shoujo",7.9,80287,151409,Toei Animation,pg_13
2498,Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,Slam Dunk: Shohoku Maximum Crisis! Burn Sakuragi Hanamichi,movie,finished_airing,Winter 1995,"School, Shounen, Sports, Team Sports",7.52,9161,18437,Toei Animation,pg_13
2559,Romeo no Aoi Sora,Romeo's Blue Skies,tv,finished_airing,Winter 1995,"Adventure, Drama, Historical",8.31,18056,51729,Nippon Animation,pg_13
1397,Macross 7,N/A,tv,finished_airing,Fall 1994,"Action, Adventure, Comedy, Drama, Mecha, Military, Music, Romance, Sci-Fi, Space",7.13,12841,32829,"Ashi Productions, Hero",pg_13
1674,Captain Tsubasa J,N/A,tv,finished_airing,Fall 1994,"Shounen, Sports, Team Sports",7.28,18102,30968,Studio Comet,g
998,Blue Seed,Blue Seed,tv,finished_airing,Fall 1994,"Action, Adventure, Drama, Horror, Mystery, Mythology, Romance, Seinen, Supernatural",6.99,11127,31644,"Production I.G, Ashi Productions",pg_13
2041,Ai to Yuuki no Pig Girl Tonde Buurin,Super Pig,tv,finished_airing,Fall 1994,"Comedy, Fantasy, Mahou Shoujo, Parody, Romance, School, Shoujo",6.67,5313,11309,Nippon Animation,g
813,Dragon Ball Z,Dragon Ball Z,tv,finished_airing,Spring 1989,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen",8.19,863786,1258233,Toei Animation,pg_13
2559,Romeo no Aoi Sora,Romeo's Blue Skies,tv,finished_airing,Winter 1995,"Adventure, Drama, Historical",8.31,18056,51729,Nippon Animation,pg_13
2471,Doraemon (1979),Doraemon,tv,finished_airing,Spring 1979,"Adventure, Anthropomorphic, Comedy, Fantasy, Kids, Sci-Fi, Shounen",7.86,39342,66089,Shin-Ei Animation,pg
966,Crayon Shin-chan,Shin Chan,tv,currently_airing,Spring 1992,"Comedy, Ecchi, School, Seinen",7.8,41799,87017,Shin-Ei Animation,g
170,Slam Dunk,Slam Dunk,tv,finished_airing,Fall 1993,"School, Shounen, Sports, Team Sports",8.55,141218,312658,Toei Animation,pg_13
534,Slayers,Slayers,tv,finished_airing,Spring 1995,"Action, Adventure, Comedy, Fantasy",7.72,63685,146603,E&G Films,pg_13
1563,Magic Knight Rayearth II,Magic Knight Rayearth II,tv,finished_airing,Spring 1995,"Action, Adventure, Drama, Fantasy, Isekai, Mahou Shoujo, Mecha, Romance, Shoujo",7.49,17765,35664,TMS Entertainment,pg_13
1674,Captain Tsubasa J,N/A,tv,finished_airing,Fall 1994,"Shounen, Sports, Team Sports",7.28,18102,30968,Studio Comet,g
876,Street Fighter II V,Street Fighter II: The Animated Series,tv,finished_airing,Spring 1995,"Action, Adventure, Drama, Mystery",7.05,15732,28833,Group TAC,pg_13
1239,Bishoujo Senshi Sailor Moon SuperS,Sailor Moon SuperS,tv,finished_airing,Spring 1995,"Mahou Shoujo, Romance, Shoujo",7.62,63220,123264,Toei Animation,pg_13
90,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,tv,finished_airing,Spring 1995,"Action, Drama, Mecha, Military, Sci-Fi, Space",7.67,91524,163999,Sunrise,pg_13
123,Fushigi Yuugi,Mysterious Play,tv,finished_airing,Spring 1995,"Action, Adventure, Fantasy, Historical, Isekai, Martial Arts, Reverse Harem, Romance, Shoujo",7.61,52881,123067,Pierrot,pg_13
696,Tenchi Muyou!,Tenchi Muyo! Tenchi Universe,tv,finished_airing,Spring 1995,"Comedy, Harem, Romance, Sci-Fi, Space",7.42,35586,83302,AIC,pg_13
334,Marmalade Boy,Marmalade Boy,tv,finished_airing,Spring 1994,"Comedy, Drama, Romance, Shoujo",7.42,22707,57917,Toei Animation,pg_13
1533,Ai Tenshi Densetsu Wedding Peach,Wedding Peach,tv,finished_airing,Spring 1995,"Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",6.74,11113,24496,"OLM, KSS",pg
1397,Macross 7,N/A,tv,finished_airing,Fall 1994,"Action, Adventure, Comedy, Drama, Mecha, Military, Music, Romance, Sci-Fi, Space",7.13,12841,32829,"Ashi Productions, Hero",pg_13
1419,Lupin III: Kutabare! Nostradamus,Lupin III: Farewell to Nostradamus,movie,finished_airing,Spring 1995,"Action, Adult Cast, Adventure, Comedy, Mystery, Seinen",7.31,6040,12457,Tokyo Movie Shinsha,r+
2041,Ai to Yuuki no Pig Girl Tonde Buurin,Super Pig,tv,finished_airing,Fall 1994,"Comedy, Fantasy, Mahou Shoujo, Parody, Romance, School, Shoujo",6.67,5313,11309,Nippon Animation,g
1573,Kishin Douji Zenki,Zenki,tv,finished_airing,Winter 1995,"Action, Comedy, Drama, Fantasy, Horror, Mythology, Shounen",6.97,5956,15094,Studio Deen,pg_13
914,Ike! Ina-chuu Takkyuu-bu,The Ping-Pong Club,tv,finished_airing,Spring 1995,"Comedy, Ecchi, Gag Humor, School",7.5,5254,18429,Grouper Productions,r+
103,Akazukin Chacha,Red Riding Hood Chacha,tv,finished_airing,Winter 1994,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",7.41,6075,16889,Gallop,g
2471,Doraemon (1979),Doraemon,tv,finished_airing,Spring 1979,"Adventure, Anthropomorphic, Comedy, Fantasy, Kids, Sci-Fi, Shounen",7.86,39342,66089,Shin-Ei Animation,pg
813,Dragon Ball Z,Dragon Ball Z,tv,finished_airing,Spring 1989,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen",8.19,863786,1258233,Toei Animation,pg_13
2499,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,Slam Dunk: Roar!! Basket Man Spirit,movie,finished_airing,Summer 1995,"School, Shounen, Sports, Team Sports",7.62,9015,18404,Toei Animation,pg_13
966,Crayon Shin-chan,Shin Chan,tv,currently_airing,Spring 1992,"Comedy, Ecchi, School, Seinen",7.8,41799,87017,Shin-Ei Animation,g
2559,Romeo no Aoi Sora,Romeo's Blue Skies,tv,finished_airing,Winter 1995,"Adventure, Drama, Historical",8.31,18056,51729,Nippon Animation,pg_13
123,Fushigi Yuugi,Mysterious Play,tv,finished_airing,Spring 1995,"Action, Adventure, Fantasy, Historical, Isekai, Martial Arts, Reverse Harem, Romance, Shoujo",7.61,52881,123067,Pierrot,pg_13
585,Mimi wo Sumaseba,Whisper of the Heart,movie,finished_airing,Summer 1995,"Drama, Romance, Shoujo",8.22,213802,378392,Studio Ghibli,g
170,Slam Dunk,Slam Dunk,tv,finished_airing,Fall 1993,"School, Shounen, Sports, Team Sports",8.55,141218,312658,Toei Animation,pg_13
90,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,tv,finished_airing,Spring 1995,"Action, Drama, Mecha, Military, Sci-Fi, Space",7.67,91524,163999,Sunrise,pg_13
1239,Bishoujo Senshi Sailor Moon SuperS,Sailor Moon SuperS,tv,finished_airing,Spring 1995,"Mahou Shoujo, Romance, Shoujo",7.62,63220,123264,Toei Animation,pg_13
534,Slayers,Slayers,tv,finished_airing,Spring 1995,"Action, Adventure, Comedy, Fantasy",7.72,63685,146603,E&G Films,pg_13
536,Slayers: The Motion Picture,Slayers: The Motion Picture,movie,finished_airing,Summer 1995,"Adventure, Comedy, Fantasy",7.26,13861,25575,J.C.Staff,pg_13
876,Street Fighter II V,Street Fighter II: The Animated Series,tv,finished_airing,Spring 1995,"Action, Adventure, Drama, Mystery",7.05,15732,28833,Group TAC,pg_13
1533,Ai Tenshi Densetsu Wedding Peach,Wedding Peach,tv,finished_airing,Spring 1995,"Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",6.74,11113,24496,"OLM, KSS",pg
914,Ike! Ina-chuu Takkyuu-bu,The Ping-Pong Club,tv,finished_airing,Spring 1995,"Comedy, Ecchi, Gag Humor, School",7.5,5254,18429,Grouper Productions,r+
1674,Captain Tsubasa J,N/A,tv,finished_airing,Fall 1994,"Shounen, Sports, Team Sports",7.28,18102,30968,Studio Comet,g
1397,Macross 7,N/A,tv,finished_airing,Fall 1994,"Action, Adventure, Comedy, Drama, Mecha, Military, Music, Romance, Sci-Fi, Space",7.13,12841,32829,"Ashi Productions, Hero",pg_13
906,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,Dragon Ball Z: Wrath of the Dragon,movie,finished_airing,Summer 1995,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen",7.36,85112,137324,Toei Animation,pg_13
696,Tenchi Muyou!,Tenchi Muyo! Tenchi Universe,tv,finished_airing,Spring 1995,"Comedy, Harem, Romance, Sci-Fi, Space",7.42,35586,83302,AIC,pg_13
334,Marmalade Boy,Marmalade Boy,tv,finished_airing,Spring 1994,"Comedy, Drama, Romance, Shoujo",7.42,22707,57917,Toei Animation,pg_13
1573,Kishin Douji Zenki,Zenki,tv,finished_airing,Winter 1995,"Action, Comedy, Drama, Fantasy, Horror, Mythology, Shounen",6.97,5956,15094,Studio Deen,pg_13
1563,Magic Knight Rayearth II,Magic Knight Rayearth II,tv,finished_airing,Spring 1995,"Action, Adventure, Drama, Fantasy, Isekai, Mahou Shoujo, Mecha, Romance, Shoujo",7.49,17765,35664,TMS Entertainment,pg_13
2041,Ai to Yuuki no Pig Girl Tonde Buurin,Super Pig,tv,finished_airing,Fall 1994,"Comedy, Fantasy, Mahou Shoujo, Parody, Romance, School, Shoujo",6.67,5313,11309,Nippon Animation,g
170,Slam Dunk,Slam Dunk,tv,finished_airing,Fall 1993,"School, Shounen, Sports, Team Sports",8.55,141218,312658,Toei Animation,pg_13
