Media Type,Premiered Season,Genres,User Score,Number of Members,Studios,Rating
tv,Spring 1979,"Adventure, Anthropomorphic, Comedy, Fantasy, Kids, Sci-Fi, Shounen",7.86,66328,Shin-Ei Animation,pg
tv,Spring 1989,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen",8.19,1261770,Toei Animation,pg_13
tv,Spring 1992,"Comedy, Ecchi, School, Seinen",7.8,87291,Shin-Ei Animation,g
tv,Fall 1993,"School, Shounen, Sports, Team Sports",8.55,313954,Toei Animation,pg_13
tv,Winter 1994,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",7.4,16950,Gallop,g
tv,Spring 1994,"Adventure, Romance, Sci-Fi, Shounen, Space",7.89,16666,E&G Films,pg_13
tv,Spring 1994,"Action, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space",7.58,72003,Sunrise,pg_13
tv,Spring 1994,"Comedy, Drama, Romance, Shoujo",7.42,58114,Toei Animation,pg_13
tv,Spring 1994,"Mahou Shoujo, Romance, Shoujo",7.9,151781,Toei Animation,pg_13
tv,Fall 1994,"Adventure, Comedy, Fantasy, Shounen",7.59,11753,Nippon Animation,g
tv,Fall 1994,"Action, Adventure, Comedy, Drama, Fantasy, Isekai, Mecha, Shoujo",7.45,73900,Tokyo Movie Shinsha,pg_13
tv,Fall 1994,"Action, Adventure, Comedy, Drama, Mecha, Military, Music, Romance, Sci-Fi, Space",7.13,32930,"Ashi Productions, Hero",pg_13
tv,Fall 1994,"Shounen, Sports, Team Sports",7.28,31035,Studio Comet,g
tv,Fall 1994,"Action, Adventure, Drama, Horror, Mystery, Mythology, Romance, Seinen, Supernatural",6.99,31739,"Production I.G, Ashi Productions",pg_13
tv,Fall 1994,"Comedy, Fantasy, Mahou Shoujo, Parody, Romance, School, Shoujo",6.67,11339,Nippon Animation,g
tv,Winter 1995,"Action, Comedy, Drama, Fantasy, Horror, Mythology, Shounen",6.97,15154,Studio Deen,pg_13
movie,Winter 1995,"Romance, Shoujo",7.29,11688,Toei Animation,pg_13
movie,Winter 1995,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen",7.6,159417,Toei Animation,pg_13
movie,Winter 1995,"School, Shounen, Sports, Team Sports",7.52,18518,Toei Animation,pg_13
tv,Winter 1995,"Adventure, Drama, Historical",8.31,51859,Nippon Animation,pg_13
tv,Spring 1995,"Action, Adventure, Comedy, Fantasy",7.72,146970,E&G Films,pg_13
tv,Spring 1995,"Action, Adventure, Drama, Fantasy, Isekai, Mahou Shoujo, Mecha, Romance, Shoujo",7.49,35775,TMS Entertainment,pg_13
tv,Spring 1995,"Action, Adventure, Drama, Mystery",7.05,28929,Group TAC,pg_13
tv,Spring 1995,"Mahou Shoujo, Romance, Shoujo",7.62,123601,Toei Animation,pg_13
tv,Spring 1995,"Action, Drama, Mecha, Military, Sci-Fi, Space",7.67,164313,Sunrise,pg_13
tv,Spring 1995,"Action, Adventure, Fantasy, Historical, Isekai, Martial Arts, Reverse Harem, Romance, Shoujo",7.61,123335,Pierrot,pg_13
tv,Spring 1995,"Comedy, Harem, Romance, Sci-Fi, Space",7.42,83587,AIC,pg_13
tv,Spring 1995,"Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",6.74,24588,"OLM, KSS",pg
movie,Spring 1995,"Action, Adult Cast, Adventure, Comedy, Mystery, Seinen",7.31,12500,Tokyo Movie Shinsha,r+
tv,Spring 1995,"Comedy, Ecchi, Gag Humor, School, Seinen",7.5,18479,Grouper Productions,r+
movie,Summer 1995,"School, Shounen, Sports, Team Sports",7.62,18482,Toei Animation,pg_13
movie,Summer 1995,"Drama, Romance, Shoujo",8.22,379863,Studio Ghibli,g
movie,Summer 1995,"Adventure, Comedy, Fantasy",7.26,25641,J.C.Staff,pg_13
movie,Summer 1995,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen",7.36,137826,Toei Animation,pg_13
tv,Summer 1995,"Comedy, Romance, Shounen, Sports, Team Sports",7.22,10594,Ashi Productions,pg_13
movie,Summer 1995,"Action, Adventure, Comedy, Drama, Mecha, Music, Sci-Fi",6.89,10340,Ashi Productions,pg_13
tv,Fall 1995,"Action, Avant Garde, Award Winning, Drama, Mecha, Psychological, Sci-Fi, Suspense",8.35,1885618,"Gainax, Tatsunoko Production",pg_13
movie,Fall 1995,"Action, Adult Cast, Award Winning, Detective, Mecha, Mystery, Psychological, Sci-Fi, Seinen, Suspense",8.27,659197,Production I.G,r+
tv,Fall 1995,"Comedy, Drama, Romance, Shoujo, Visual Arts",7.66,28308,Toei Animation,pg_13
movie,Fall 1995,"Drama, Mahou Shoujo, Shoujo",7.54,42800,Toei Animation,pg_13
movie,Fall 1995,"Award Winning, Drama, Horror, Military, Psychological, Sci-Fi, Space, Suspense",7.72,142731,"Madhouse, Studio 4°C",pg_13
tv,Fall 1995,"Action, Martial Arts",7.11,12267,Tokyo Movie Shinsha,pg_13
tv,Fall 1995,"Adventure, Comedy, Ecchi, Fantasy, Shounen",6.64,23688,Xebec,r
tv,Fall 1995,"Adventure, Comedy, Fantasy, Isekai, Romance",6.93,19128,AIC,pg_13
tv,Fall 1995,"Adventure, Romance, Shoujo",7.54,22340,TMS Entertainment,g
movie,Fall 1995,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",7.7,18420,Triangle Staff,r+
tv,Winter 1996,"Action, Comedy, Historical, Romance, Samurai, Shounen",8.28,506988,"Gallop, Studio Deen",pg_13
tv,Winter 1996,"Adventure, Comedy, Detective, Mystery, Shounen",8.17,358465,TMS Entertainment,pg_13
movie,Winter 1996,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen",7.14,64881,Toei Animation,pg_13
tv,Winter 1996,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen",6.5,648616,Toei Animation,pg_13
tv,Winter 1996,"Adventure, Kids, Racing",6.86,12150,Xebec,g
tv,Spring 1996,"Comedy, Horror, School, Shounen, Supernatural",7.53,22646,Toei Animation,pg_13
tv,Spring 1996,"Adventure, Historical",7.24,12952,Ashi Productions,pg_13
movie,Spring 1996,"Action, Comedy, Romance, School, Sci-Fi, Space",7.4,25168,AIC,pg_13
tv,Spring 1996,"Action, Adventure, Fantasy, Isekai, Love Polygon, Mecha, Psychological, Romance, Suspense",7.66,165896,Sunrise,pg_13
tv,Spring 1996,"Adventure, Comedy, Drama, Mahou Shoujo, Romance, Shoujo",7.95,117072,Toei Animation,pg_13
tv,Spring 1996,"Action, Adventure, Drama, Mecha, Sci-Fi, Space",7.33,38028,Sunrise,pg_13
tv,Spring 1996,"Comedy, Drama, Love Polygon, Romance, Shoujo, Showbiz",8.05,72002,Gallop,pg_13
tv,Spring 1996,"Action, Adventure, Comedy, Fantasy",8.01,72660,E&G Films,pg_13
movie,Spring 1996,"Action, Adult Cast, Adventure, Comedy, Mystery, Seinen",7.1,12376,Tokyo Movie Shinsha,pg_13
tv,Spring 1996,"Adventure, Mecha, Sci-Fi, Shounen",7.02,12846,TMS Entertainment,pg_13
movie,Spring 1996,"Action, Detective, Mecha, Military, Mystery, Romance, Sci-Fi",7.05,16476,AIC,r+
tv,Summer 1996,"Childcare, Comedy, Drama, Shoujo",7.82,24117,Pierrot,g
movie,Summer 1996,"Adventure, Comedy, Fantasy",7.29,21834,J.C.Staff,pg_13
movie,Summer 1996,"Action, Drama, Fantasy, Mystery, Shoujo, Super Power",6.56,40681,Madhouse,r+
tv,Summer 1996,"Adult Cast, Comedy, Detective, Gag Humor, Shounen",7.78,20031,Gallop,pg_13
tv,Fall 1996,"Drama, Love Polygon, Romance, School, Shoujo",7.57,64188,Toei Animation,pg_13
tv,Fall 1996,"Adventure, Drama, Historical",7.9,21759,Nippon Animation,g
movie,Fall 1996,"Award Winning, Drama, Medical, Shounen",7.33,14461,Tezuka Productions,r
movie,Fall 1996,"Anthropomorphic, Drama, Historical, Slice of Life",7.18,10061,Group TAC,pg_13
tv,Fall 1996,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Space",7.49,56713,Xebec,pg_13
tv,Fall 1996,"Action, Adult Cast, Comedy, Detective, Seinen, Workplace",7.53,39382,Studio Deen,pg_13
